neuron_id,super_class,class,cell_type,side,nt_type,nt_score,x,y,z
720575940632009167,visual_projection,,LPLC2,left,ACH,0.56,388.6,214.6,226.9
720575940632030008,central,,CB0438,right,GABA,0.6,613.5,341.7,64.2
720575940632040652,central,,CB1688,right,ACH,0.9,709.3,203.7,92.2
720575940632041043,sensory,olfactory,ORN_DA2,left,ACH,0.59,455.2,248.6,18.5
720575940632043576,descending,,DNg108,right,GABA,0.44,532.3,356.3,171.7
720575940632047890,central,,CB0393,left,ACH,0.81,470.2,338.7,117.2
720575940632080146,visual_projection,,LPLC2,left,ACH,0.52,344.6,177.5,191.6
720575940632080977,central,,PLP163,left,ACH,0.75,444.7,223.6,223.8
720575940632086573,visual_projection,,LPLC1,left,ACH,0.62,377.5,208.7,209.5
720575940632086599,central,,AVLP176_c,left,ACH,0.77,345.6,203.4,109.1
720575940632108257,visual_projection,,LC16,left,ACH,0.5,394.0,296.6,155.9
720575940632129848,visual_projection,,LPLC2,left,ACH,0.59,359.6,184.6,197.8
720575940632137517,central,,CB1119,left,ACH,0.88,414.7,221.1,196.6
720575940632190765,sensory,olfactory,ORN_DA2,left,ACH,0.5,450.2,248.3,19.4
720575940632198442,central,ALLN,lLN2X02,left,GABA,0.51,454.2,273.4,26.8
720575940632211015,central,,AVLP506,left,ACH,0.81,387.0,203.2,131.8
720575940632224031,sensory,olfactory,ORN_DM1,left,ACH,0.45,491.5,230.0,22.2
720575940632252743,central,,CB0493,left,ACH,0.79,407.1,307.1,155.5
720575940632381536,central,,PVLP024,right,GABA,0.75,610.0,232.7,136.5
720575940632403986,central,ALLN,il3LN6,left,GABA,0.34,482.9,353.4,104.7
720575940632409500,central,,AOTUv3B_P02,right,ACH,0.91,633.3,169.8,66.8
720575940632416298,central,ALLN,lLN2T_e,left,SER,0.32,457.9,243.1,61.5
720575940632425919,sensory,gustatory,LB3,left,ACH,0.71,492.9,334.3,113.0
720575940632472850,descending,,DNpe056,right,ACH,0.9,612.0,185.3,200.9
720575940632475449,visual_projection,,LC4,right,ACH,0.68,677.0,283.0,125.0
720575940632481849,visual_projection,,LPLC1,left,ACH,0.58,371.5,204.6,203.0
720575940632492319,central,,PVLP128,left,ACH,0.82,421.3,219.4,148.2
